Commissioner Org Name,Treatment Function Name,Commissioner Org Code,Treatment Function Code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
Bolton,all referrals,00T,C_999,2166,1534,1761,1655,1237,1601,1376,1384,1319,1394,1209,1179,1170,1173,1142,1040,813,780,939,839,887,567,885,488,635,728,574,586,527,521,489,456,370,369,362,314,308,234,164,75,218,215,208,227,201,207,156,162,163,185,178,171,130,133,159,111,106,103,92,91,91,94,108,118,79,94,104,82,71,58,73,77,44,39,59,36,35,22,25,18,20,15,16,15,16,8,13,8,10,8,7,2,4,4,5,3,5,1,2,3,2,1,2,1,2
Bradford District And Craven,all referrals,36J,C_999,3502,2441,3074,2855,2008,2549,2211,2056,2028,1828,1732,1665,1845,1678,1551,1492,1330,895,1015,984,920,658,854,591,680,720,565,625,567,561,544,538,520,522,446,452,477,322,231,151,250,266,241,269,281,217,223,191,199,193,169,159,138,122,116,119,79,87,91,80,70,78,48,71,71,65,83,56,49,31,63,46,41,33,30,52,32,18,24,29,24,18,18,11,11,15,11,9,7,7,11,2,5,5,5,5,3,9,5,4,3,0,6,0,8
Brighton And Hove,all referrals,09D,C_999,1437,1338,1568,1406,1066,1318,1275,1174,1161,1099,1100,1038,1072,985,1105,992,755,730,869,860,838,573,635,438,708,631,603,581,537,532,528,512,517,446,450,330,343,275,197,143,285,304,320,307,315,285,268,265,246,232,192,175,196,161,170,133,101,99,108,126,112,97,124,79,93,92,104,84,68,66,82,63,51,47,55,40,42,35,43,38,42,31,25,25,19,16,13,9,12,11,12,7,7,15,19,15,10,7,5,7,5,2,2,1,11
"Bristol, North Somerset And South Gloucestershire",all referrals,15C,C_999,5609,4120,4294,3963,3049,3594,3493,3442,3268,3028,2786,2573,2616,2673,2274,2441,2060,1589,1482,1547,1689,1209,1174,812,1146,1199,965,834,931,788,716,632,716,670,590,567,653,570,379,210,458,484,472,440,492,467,413,381,431,330,418,332,369,296,324,263,190,293,252,225,214,204,176,183,170,132,155,164,180,121,136,121,122,105,92,86,80,50,63,58,41,40,34,32,31,25,25,16,13,37,17,9,14,13,13,13,13,10,7,6,3,10,6,3,47
Buckinghamshire,all referrals,14Y,C_999,2022,1565,1657,1547,1140,1593,1346,1306,1234,1151,1084,989,944,859,1039,964,943,665,709,841,790,753,840,522,617,714,651,676,570,644,655,625,577,513,549,522,467,477,338,151,352,382,405,383,372,361,369,331,299,324,319,289,215,232,254,220,164,172,182,161,191,159,166,167,168,128,158,120,107,66,85,68,68,44,52,36,44,35,16,24,31,23,17,21,11,13,16,11,12,5,4,0,2,5,2,7,4,4,0,1,3,2,1,0,2
Bury,all referrals,00V,C_999,1054,787,914,836,659,861,894,815,837,922,770,788,768,793,785,664,536,400,467,675,654,478,533,319,557,460,490,476,407,355,343,346,353,310,302,289,241,196,157,85,206,218,225,170,212,164,155,166,146,184,159,186,173,157,145,143,109,120,151,117,123,101,114,82,140,108,136,82,90,54,83,52,53,49,51,55,34,10,34,37,27,23,19,15,17,8,21,12,7,6,4,4,3,3,3,1,6,2,3,2,0,2,4,2,7
Calderdale,all referrals,02T,C_999,1295,893,949,858,814,826,799,772,632,663,540,543,514,458,537,442,345,308,374,373,355,230,264,160,256,293,228,225,226,181,191,177,176,174,161,129,135,108,87,67,103,101,84,99,84,87,61,86,57,84,84,58,61,60,52,52,40,43,41,38,39,31,34,43,30,27,20,21,29,18,25,13,27,18,19,11,16,10,7,9,13,10,3,2,4,7,2,1,5,7,0,3,3,3,1,2,0,3,1,0,1,1,2,0,0
Cambridgeshire And Peterborough,all referrals,06H,C_999,5535,4117,4518,4162,2917,3718,3394,3426,3234,2974,2822,2892,3003,2779,2819,2534,1968,1790,2251,2194,2137,1550,1755,1065,1518,1461,1386,1415,1329,1286,1125,1204,1040,1103,878,851,803,738,458,314,617,696,692,573,604,591,525,525,493,450,483,435,354,381,352,306,247,274,244,279,235,251,224,225,189,216,180,174,152,130,148,160,132,96,122,95,98,53,79,72,51,57,67,46,25,35,23,17,24,16,17,13,18,15,15,13,10,10,7,8,5,4,5,3,9
Cannock Chase,all referrals,04Y,C_999,1096,802,914,804,639,732,676,666,609,606,628,554,564,518,551,458,396,321,390,388,413,326,344,187,301,294,275,284,224,284,240,230,217,206,195,185,191,126,113,42,113,126,145,90,88,83,88,70,74,66,64,63,55,51,48,46,34,33,29,32,23,29,28,20,18,19,25,24,17,13,19,14,17,15,9,10,14,7,9,6,8,5,4,1,7,2,4,1,3,6,2,0,3,2,4,3,5,0,1,1,0,2,1,1,5
Castle Point And Rochford,all referrals,99F,C_999,1936,1302,1452,1365,1043,1041,993,932,896,880,837,831,799,796,658,619,505,398,581,521,508,415,467,312,386,351,380,379,414,388,396,340,324,339,317,272,277,312,185,84,175,188,165,183,156,192,148,122,146,137,136,125,142,118,102,113,58,76,73,68,79,72,72,62,67,44,54,41,32,27,45,28,37,21,25,23,17,11,17,10,9,13,12,4,3,3,6,2,4,5,2,2,1,3,3,2,2,3,0,1,0,0,1,0,6
Cheshire,all referrals,27D,C_999,5344,3593,3985,3880,2752,3543,3123,3134,3265,3247,2953,2909,2867,2752,2626,2730,1991,1989,2249,2363,2332,1634,1877,1128,1748,1597,1565,1595,1553,1587,1453,1270,1315,1319,1348,1171,1167,1006,660,427,1075,1015,997,873,873,889,883,826,736,735,744,719,654,582,502,358,329,402,325,307,338,289,324,275,330,296,266,285,247,165,267,226,187,157,158,143,133,58,103,87,79,70,61,35,54,42,27,28,26,24,22,11,11,26,15,13,16,10,12,10,7,6,6,2,46
Chorley And South Ribble,all referrals,00X,C_999,1024,984,1096,1040,789,854,772,710,769,697,718,744,708,587,581,634,435,362,484,558,437,340,506,303,291,343,258,282,301,357,291,253,227,206,183,174,191,175,104,69,150,196,174,135,144,109,110,120,103,113,126,97,79,65,78,78,48,58,62,69,63,56,31,51,47,53,33,37,34,27,32,31,27,22,25,23,26,17,18,15,15,20,12,4,10,12,14,14,11,10,13,2,9,8,4,5,4,1,3,4,1,4,2,2,10
County Durham,all referrals,84H,C_999,3615,2792,3056,2726,1882,2346,2244,2140,2205,1957,1804,1761,1711,1695,1644,1403,1109,826,1094,1056,989,736,840,468,641,758,621,564,546,542,463,372,403,399,368,329,291,274,180,84,200,228,186,197,209,169,167,133,123,137,120,128,105,111,98,106,66,81,67,63,66,63,46,56,54,60,48,51,64,31,35,30,38,27,36,29,25,13,10,17,5,11,7,16,7,4,3,6,7,3,2,0,1,0,0,2,2,3,2,0,0,1,1,1,2
Coventry And Warwickshire,all referrals,B2M3M,C_999,5703,3751,4668,4596,3504,3929,3891,3549,3714,3273,2972,3073,3338,3245,3152,3210,2289,2163,2502,2519,2187,1598,1994,1051,1637,1699,1323,1312,1353,1275,1225,1087,1010,997,997,928,851,838,543,303,705,708,692,644,594,643,630,539,475,518,507,476,407,422,365,352,279,368,379,367,293,302,236,256,279,215,215,179,160,125,139,142,128,80,83,72,79,33,27,32,19,27,31,11,18,13,19,8,9,15,5,4,4,5,4,6,3,9,6,3,11,7,2,5,13
"Derby, Derbyshire And Glossop",all referrals,15M,C_999,6486,4502,4913,4642,3581,4141,3995,3849,3984,3586,3327,3406,3418,3521,3222,3189,2410,2310,2833,2676,2503,1888,2072,1235,1807,1887,1598,1417,1640,1509,1397,1331,1313,1233,1223,1092,983,835,587,351,750,880,815,753,751,745,686,649,559,592,551,523,481,438,415,387,280,322,358,332,318,309,291,269,243,248,229,254,222,141,209,186,195,131,162,143,111,49,105,113,102,78,94,63,72,62,50,63,46,38,31,15,26,25,26,31,18,19,23,11,17,12,7,13,29
Devon,all referrals,15N,C_999,10735,5855,5940,5735,3927,4597,4538,4530,4359,4379,4015,3894,4063,3717,3596,3585,2698,2769,3318,3378,2977,2092,2600,2055,2578,2292,2089,2214,1880,2008,1836,1822,1959,1669,1790,1404,1107,1393,1197,1025,1437,1324,1434,1225,1127,1472,1227,963,1415,1307,1369,1094,841,769,724,646,488,536,542,586,608,546,610,530,514,449,415,402,422,301,365,391,316,300,341,344,269,125,223,235,211,185,178,156,130,119,109,112,112,88,66,52,92,70,65,57,65,58,59,51,43,56,53,52,520
Doncaster,all referrals,02X,C_999,2554,1722,2050,1844,1274,1619,1485,1502,1353,1340,1345,1224,1284,1301,1258,1153,818,715,904,838,806,596,771,401,558,632,561,600,566,516,501,394,389,449,356,273,327,266,139,69,162,156,164,166,168,155,129,127,127,123,121,99,94,91,73,80,45,63,71,48,51,63,46,34,33,41,36,39,41,19,35,38,20,15,26,26,20,8,14,11,10,11,10,4,1,9,1,3,4,3,4,0,2,3,4,1,0,1,4,1,1,1,0,1,3
Dorset,all referrals,11J,C_999,3914,3459,3768,3559,2909,3372,3206,3073,3001,2957,2810,2741,2741,2617,2563,2416,2405,1570,2306,2148,2141,1537,1823,1278,1335,1541,1412,1377,1312,1201,1260,1126,1159,1106,1010,947,1012,921,580,324,626,663,745,705,728,679,507,470,378,456,430,371,317,358,288,231,168,175,220,204,185,153,147,162,143,150,131,101,112,83,120,92,87,68,74,48,58,45,39,44,59,41,40,27,18,30,22,15,19,9,12,7,13,22,12,11,10,9,17,12,9,9,12,4,28
East And North Hertfordshire,all referrals,06K,C_999,4429,2957,3087,2957,2277,2707,2613,2619,2456,2377,2143,2119,2086,2145,2067,1952,1472,1540,1908,1708,1523,1282,1458,851,1238,1318,1167,1171,1126,1028,1027,1012,857,910,794,747,723,646,377,265,563,543,578,555,475,493,578,478,412,407,329,402,256,282,287,288,209,225,209,218,198,207,178,177,178,172,195,160,162,143,106,147,156,128,106,117,87,52,79,67,62,45,45,44,16,20,26,20,15,14,8,3,8,11,10,8,4,6,2,5,3,4,3,0,7
East Lancashire,all referrals,01A,C_999,2000,1637,1950,1677,1260,1499,1545,1523,1540,1395,1409,1316,1372,1331,1293,1232,984,876,1227,1025,951,739,873,505,704,718,550,630,574,525,496,490,402,396,346,306,275,255,184,108,216,196,219,208,197,179,151,124,142,156,132,121,119,99,100,86,46,50,65,45,53,54,43,47,52,28,47,38,36,26,23,20,17,11,26,16,15,10,10,6,14,4,14,9,4,3,3,9,3,3,4,0,4,3,2,4,1,1,4,6,1,2,0,1,5
East Leicestershire And Rutland,all referrals,03W,C_999,1743,1285,1480,1394,1119,1401,1273,1181,1250,1073,1060,1043,1061,1061,978,1026,777,777,959,905,884,620,736,415,696,756,576,566,626,589,587,559,531,532,470,455,487,407,234,140,362,349,382,367,359,340,312,329,268,284,287,280,274,253,261,241,182,208,177,236,219,213,169,197,188,188,183,179,150,93,134,147,132,121,121,136,96,57,75,71,55,67,68,38,43,44,36,47,30,33,24,18,32,15,21,16,15,13,12,15,4,7,9,9,63
East Riding Of Yorkshire,all referrals,02Y,C_999,2000,1536,1603,1419,1096,1454,1310,1195,1099,1181,1054,966,1040,1009,956,1014,711,683,833,764,668,577,564,366,461,573,451,468,442,438,355,349,431,369,345,316,300,262,151,119,212,216,220,234,219,193,196,188,167,173,157,142,146,131,119,109,75,109,113,102,81,89,70,82,84,79,74,45,54,34,54,56,62,36,36,34,30,13,27,23,23,26,25,15,9,10,14,12,11,10,6,4,3,5,3,1,4,3,3,3,4,2,4,0,1
East Staffordshire,all referrals,05D,C_999,898,644,701,623,513,653,605,594,545,550,537,554,548,557,536,491,374,415,413,382,398,279,353,187,301,333,214,230,315,215,234,219,205,205,172,162,180,174,91,69,123,126,127,101,134,98,130,95,98,92,121,85,91,77,58,62,72,53,49,55,49,44,52,38,45,37,48,39,40,25,33,40,30,15,28,25,12,5,14,9,7,11,7,6,6,6,4,1,3,5,3,2,4,4,0,3,6,3,1,3,2,0,1,1,3
East Sussex,all referrals,97R,C_999,3926,2756,3326,3026,2188,2810,2639,2542,2520,2241,2416,2344,2303,2344,2284,2268,1750,1754,2136,2043,1931,1343,1634,914,1518,1416,1325,1341,1226,1173,1247,999,1010,900,850,760,769,626,373,229,502,493,497,508,505,426,364,306,309,287,269,254,266,168,164,113,104,115,84,67,87,79,70,79,81,70,47,50,30,28,29,29,40,27,14,26,24,11,13,12,17,18,12,7,9,8,7,4,2,8,3,2,3,3,1,8,5,3,1,2,5,3,2,0,13
Frimley,all referrals,D4U1Y,C_999,603,499,602,537,431,459,483,458,473,392,392,373,382,394,355,308,300,208,274,314,259,186,278,156,211,200,153,164,181,161,148,139,139,126,138,100,118,111,60,21,80,78,54,57,61,61,64,47,47,57,27,26,34,18,33,16,22,25,25,20,15,21,18,14,11,15,15,9,8,10,5,8,7,4,5,6,4,4,6,2,3,0,2,0,3,0,1,0,2,2,1,0,0,1,0,1,1,1,0,0,1,0,0,1,2
Fylde And Wyre,all referrals,02M,C_999,1135,901,1107,961,738,881,827,835,636,667,675,655,636,617,557,533,517,324,472,450,434,333,385,271,269,304,266,265,266,256,219,194,189,204,190,182,195,144,92,63,143,126,129,125,116,137,136,108,89,101,77,84,96,68,64,52,51,68,72,70,45,44,47,51,41,36,47,38,35,29,28,29,24,14,30,28,11,10,17,11,19,16,14,11,14,5,10,9,10,5,7,1,7,1,3,1,0,1,1,3,0,5,0,1,11
Gloucestershire,all referrals,11M,C_999,4491,3285,3468,3035,2324,2868,2803,2779,2473,2587,2243,2265,2361,2333,2159,2235,1738,1546,1251,1021,917,916,870,504,775,818,676,663,715,624,604,504,552,534,486,428,459,361,267,182,316,334,279,308,286,255,243,228,200,194,161,173,122,117,94,80,73,89,83,75,85,70,45,51,43,33,37,37,40,26,27,19,24,12,25,15,10,9,7,14,8,6,6,4,5,4,4,3,6,3,1,5,4,5,4,3,1,0,1,0,0,1,1,3,7
Greater Preston,all referrals,01E,C_999,1227,1172,1386,1249,933,985,909,874,807,767,734,868,835,642,661,707,607,456,560,544,553,377,550,348,314,369,321,334,347,415,297,288,255,263,216,188,194,200,130,67,170,199,177,143,147,144,123,143,132,144,133,123,92,106,99,91,80,80,71,72,65,70,71,70,54,71,41,48,48,31,43,42,30,19,45,40,26,20,23,25,27,18,16,22,16,13,18,24,9,7,7,5,6,6,7,7,2,6,3,8,3,4,5,3,7
Halton,all referrals,01F,C_999,959,768,904,777,575,691,686,618,619,580,530,589,534,500,495,534,367,340,371,409,366,266,317,210,273,213,258,213,245,244,191,168,177,161,155,132,121,96,48,37,104,98,82,73,88,73,96,72,59,51,54,88,61,63,51,45,28,35,25,36,34,31,24,33,28,29,31,37,27,21,28,19,22,24,18,24,14,12,12,11,14,7,12,9,10,3,10,8,3,3,8,0,2,2,2,1,0,2,2,2,0,1,0,1,1
"Hampshire, Southampton And Isle Of Wight",all referrals,D9Y0V,C_999,7945,6323,6951,6631,5158,5914,5532,5330,5087,5037,4638,4395,4340,4195,4126,3788,3257,2676,3288,3146,3076,2320,2624,1740,1997,2488,2117,2090,1806,1841,1618,1633,1607,1443,1337,1245,1159,1094,699,394,795,937,873,853,893,772,750,642,571,640,597,580,468,499,460,384,263,305,294,299,294,291,265,254,246,241,185,189,150,98,119,132,118,85,113,95,73,48,48,54,55,45,29,32,16,27,22,19,17,17,7,10,11,18,9,8,9,3,4,3,6,5,5,3,10
Herefordshire And Worcestershire,all referrals,18C,C_999,4376,3078,3440,3428,2640,3285,3086,2950,2869,2902,2783,2686,2672,2693,2294,2133,1788,1710,2300,2079,2081,1614,1724,1086,1598,1544,1358,1377,1315,1289,1178,1237,1266,1210,1050,1094,1050,852,633,317,811,785,750,667,760,724,712,623,617,620,612,564,553,530,415,414,331,391,399,390,338,367,338,315,348,279,287,271,276,196,257,280,251,194,202,139,145,81,90,85,105,95,113,68,76,69,42,37,41,37,29,24,31,23,26,14,27,16,24,23,11,12,14,12,14
Herts Valleys,all referrals,06N,C_999,3751,2851,3162,2981,2427,2850,2751,2691,2536,2603,2253,2467,2500,2375,2299,2316,1813,1691,2110,2051,1910,1502,1756,1114,1472,1480,1573,1478,1473,1339,1244,1130,1136,1165,1006,955,950,810,536,307,693,718,696,736,701,729,660,542,508,568,473,468,329,261,256,224,168,158,162,140,179,142,123,134,125,101,96,90,83,68,62,55,53,38,36,38,35,14,28,22,17,11,17,9,6,9,8,4,11,8,1,1,4,3,1,5,3,3,1,3,0,2,0,1,2
"Heywood, Middleton And Rochdale",all referrals,01D,C_999,1361,971,1200,1094,859,1033,1071,1011,1022,1009,927,931,940,927,907,945,540,412,512,672,707,508,610,342,583,596,482,508,524,476,422,424,466,397,332,353,329,265,189,129,248,257,224,229,193,226,186,185,159,174,157,164,160,111,114,104,89,104,92,109,89,70,86,97,81,68,65,61,56,38,70,58,47,51,59,45,21,18,37,37,36,28,24,16,26,18,12,9,17,14,8,3,4,5,3,3,1,0,4,2,2,1,0,0,2
Hull,all referrals,03F,C_999,1772,1287,1457,1417,1007,1249,1054,1114,1166,996,996,1063,921,867,849,848,654,509,693,673,643,494,540,311,492,442,407,469,422,388,365,317,326,321,295,286,270,250,161,104,229,211,226,172,230,234,255,197,163,167,188,161,160,157,130,156,100,132,122,93,108,107,86,100,130,84,72,68,74,73,43,52,55,52,37,33,38,14,39,31,43,36,30,23,12,19,8,13,13,11,2,2,4,5,4,5,2,6,5,1,2,2,2,3,1
Ipswich And East Suffolk,all referrals,06L,C_999,2413,1773,2031,1773,1434,1491,1385,1300,1311,1171,1120,1153,1036,1096,938,891,852,512,806,738,721,498,610,365,408,475,454,444,411,372,409,341,306,340,322,312,286,264,177,116,193,222,197,212,234,185,225,177,200,201,153,139,148,141,103,111,93,111,98,96,115,77,90,71,73,68,59,58,59,45,40,45,46,27,35,45,28,16,22,13,14,18,14,17,9,13,6,5,8,6,6,7,6,10,3,3,4,0,5,2,3,1,1,1,6
Kent And Medway,all referrals,91Q,C_999,9049,8123,9844,9413,6613,8582,8107,7791,7402,7564,6864,6942,6867,6547,6004,5556,4498,3633,4933,4432,4081,3189,3618,2482,3062,3017,2902,2647,2684,2625,2454,2119,1942,2133,1807,1597,1641,1404,985,640,931,1074,1086,951,964,822,873,753,621,652,563,468,423,381,372,331,228,231,252,237,216,164,176,194,187,153,141,133,125,101,122,91,99,68,78,72,63,41,58,47,48,47,57,50,28,19,26,16,16,23,6,8,4,13,13,8,6,12,6,4,8,2,4,3,15
Kernow,all referrals,11N,C_999,3950,2625,2985,2667,2093,2340,2114,2093,2106,2017,1855,1755,1640,1716,1545,1537,1267,1191,1458,1354,1291,933,1027,642,1017,953,857,874,734,784,704,633,721,624,603,633,525,514,348,255,506,488,501,478,389,401,340,344,297,308,294,244,272,234,248,202,147,174,170,201,167,160,161,143,129,158,127,119,110,86,101,112,87,88,103,103,83,35,56,64,55,65,36,32,34,36,37,28,19,21,29,13,18,23,19,22,24,12,16,10,8,14,11,11,125
Kirklees,all referrals,X2C4Y,C_999,2776,1881,2159,1912,1429,1680,1587,1513,1371,1293,1099,1114,1155,1050,928,950,758,667,849,724,716,509,591,372,597,541,460,393,429,388,308,334,330,295,340,264,207,223,159,88,205,175,167,190,170,149,116,135,122,112,122,109,111,82,73,76,50,61,71,51,53,53,44,51,30,33,50,41,41,23,21,21,25,23,23,26,12,14,11,11,11,9,2,11,3,3,6,4,3,3,3,1,2,1,0,2,1,1,1,1,0,0,0,2,2
Knowsley,all referrals,01J,C_999,1264,977,1194,946,626,854,822,708,605,641,640,564,594,594,489,503,505,341,430,433,428,288,300,247,308,322,351,252,249,290,248,300,266,258,255,193,154,143,168,44,171,131,145,140,160,131,124,113,99,120,114,102,98,111,96,82,59,83,69,102,50,66,96,82,77,57,48,56,58,36,46,43,48,36,42,47,23,23,22,29,25,21,25,15,17,12,9,13,9,14,4,7,4,7,1,2,4,1,1,0,3,2,0,2,1
Leeds,all referrals,15F,C_999,4373,3714,4214,3952,2777,3409,3015,2965,3037,2655,2332,2407,2446,2212,2155,2000,1502,1479,1785,1657,1536,1150,1368,765,1150,997,995,987,969,954,812,738,720,732,629,597,631,493,363,206,437,470,435,405,366,365,307,311,271,277,292,277,241,236,176,197,141,161,131,119,123,121,125,98,136,121,93,100,88,64,67,89,71,49,44,68,53,36,30,28,26,29,23,15,22,19,9,25,10,9,8,5,11,5,7,7,3,3,4,3,1,3,6,5,9
Leicester City,all referrals,04C,C_999,1532,1285,1333,1286,1096,1248,1187,1201,1175,1115,1038,1004,999,1144,1079,1010,838,776,989,927,924,710,785,441,724,745,722,663,657,681,725,627,553,555,529,543,436,470,247,155,378,440,388,447,392,396,348,375,318,328,301,364,333,329,318,305,209,276,241,285,266,269,221,261,271,247,250,216,221,130,195,185,163,110,154,153,123,61,99,108,101,101,121,77,83,69,61,51,59,58,40,16,38,39,28,28,27,19,15,8,17,20,4,7,99
Lincolnshire,all referrals,71E,C_999,5166,3622,4307,3778,2920,3918,3446,3319,3170,3068,3010,3083,2889,2760,2803,2752,2016,2038,2457,2376,2383,1812,2120,1205,1824,1860,1747,1779,1683,1517,1512,1425,1415,1495,1248,1197,1126,1032,678,487,1077,972,928,952,831,873,828,808,669,686,666,592,604,589,563,496,376,418,441,426,351,360,397,369,349,347,341,293,264,249,313,250,239,166,194,172,169,90,129,143,94,78,70,62,53,55,45,41,29,24,13,5,10,8,9,12,10,13,10,4,2,5,3,3,24
Liverpool,all referrals,99A,C_999,3284,2378,2773,2518,1848,2110,2004,1832,1913,1754,1627,1748,1626,1557,1495,1447,1241,997,1315,1317,1398,998,1119,701,957,1082,943,1025,980,1010,901,831,908,825,775,682,689,616,371,238,554,564,520,505,511,526,511,471,431,417,393,387,378,367,383,333,241,281,309,304,276,238,279,341,253,269,217,232,203,108,155,146,150,99,136,103,81,58,84,98,68,78,48,57,49,59,44,33,22,37,16,10,17,20,11,13,6,7,4,9,2,6,2,3,20
